nazov_en;typ_prenosne;kategoria_tmdb;kuchyna;tazko_dostupnych;suroviny_na_nahradu;zdroj;zdroj_url;themealdb_id;ingrediencie
Prawn & noodle salad with crispy shallots;šalát do krabičky;Seafood;Vietnamese;0;;TheMealDB;https://www.themealdb.com/meal/53244;53244;Rice Noodles, Prawns, Red Onions, Red Chilli, Cucumber, Coriander, Mint, Roasted Peanut, Lime, Brown Sugar, Fish Sauce, Garlic, Shallots, Vegetable Oil, Flour
Salmon Avocado Salad;šalát do krabičky;Seafood;British;0;;TheMealDB;https://www.themealdb.com/meal/52960;52960;Salmon, Avocado, Cucumber, Spinach, Mint, Lime, Honey, Olive Oil
Sesame Cucumber Salad;šalát do krabičky;Side;Chinese;0;;TheMealDB;https://www.themealdb.com/meal/53378;53378;Cucumber, Salt, Sesame Seed Oil, Rice Vinegar, Basil Leaves, Red Chilli Flakes, Sesame Seed
Shopska Salad;šalát do krabičky;Vegetarian;;0;;TheMealDB;https://www.themealdb.com/meal/53491;53491;Cucumber, Tomatoes, Red Onions, Green Pepper, Salt, Olive Oil, Feta, Parsley
Squid, chickpea & chorizo salad;šalát do krabičky;Seafood;Australian;0;;TheMealDB;https://www.themealdb.com/meal/53102;53102;Red Pepper, Can of chickpeas, Parsley, Red Chilli, Garlic Clove, Olive Oil, Squid, Chorizo, Lemon
Steak & Vietnamese noodle salad;šalát do krabičky;Beef;Vietnamese;0;;TheMealDB;https://www.themealdb.com/meal/53229;53229;Brown Rice Noodle, Rapeseed Oil, Fillet Of Steak, Carrots, Chinese Cabbage, Spring Onions, Coriander, Red Chilli, Lime, Brown Sugar, Rice Vinegar, Garlic Clove, Fish Sauce
Thai rice noodle salad;šalát do krabičky;Vegetarian;Thai;0;;TheMealDB;https://www.themealdb.com/meal/53203;53203;Vermicelli Rice Noodles, Bean Sprouts, Lime, Fish Sauce, Muscovado Sugar, Red Onions, Lettuce, Minced Pork, Ginger, Cayenne Pepper, Sunflower Oil, Sesame Seed, Oil, Sirloin steak, Red Chilli
Vietnamese chicken salad;šalát do krabičky;Chicken;Vietnamese;0;;TheMealDB;https://www.themealdb.com/meal/53232;53232;Rice Noodles, Carrots, Cucumber, Chicken Breasts, Radish, Red Onions, Mint, Peanuts, Red Chilli, Lime, Fish Sauce, Soy Sauce, Sesame Seed Oil
Vietnamese pork salad;šalát do krabičky;Pork;Vietnamese;0;;TheMealDB;https://www.themealdb.com/meal/53237;53237;Golden Caster Sugar, Lime, Red Chilli, Coriander, Sesame Seed Oil, Fish Sauce, Soy Sauce, Pork Tenderloin, Vegetable Oil, White Cabbage, Cucumber, Celery, Spring Onions, Red Chilli, Lemongrass Stalks, Lime, Coriander, Mint
Warm roast asparagus salad;šalát do krabičky;Pork;Australian;0;;TheMealDB;https://www.themealdb.com/meal/53106;53106;Asparagus, Red Wine Vinegar, Tomato, Extra Virgin Olive Oil, Streaky Bacon, Clear Honey, Jersey Royal Potatoes, Extra Virgin Olive Oil, Dijon Mustard, Rocket
Chicken Salad With Mushrooms and Bacon;šalát do krabičky;Chicken;;1;créme fraiche → kyslá smotana 16 %;TheMealDB;https://www.themealdb.com/meal/53549;53549;Chicken Breast, Shallots, Mayonnaise, Creme Fraiche, Dijon Mustard, Apple Cider Vinegar, Bacon, Mushrooms, Parsley, Salt, Pepper
Chorizo & soft-boiled egg salad;šalát do krabičky;Pork;Spanish;1;sherry ocot → červený vínny ocot;TheMealDB;https://www.themealdb.com/meal/53157;53157;Baby New Potatoes, Egg, Green Beans, Chorizo, Garlic Clove, Sherry vinegar, Parsley
Chorizo & tomato salad;šalát do krabičky;Pork;Spanish;1;sherry ocot → červený vínny ocot;TheMealDB;https://www.themealdb.com/meal/53185;53185;Beef tomatoes, Red Onions, Thyme, Sherry vinegar, Extra Virgin Olive Oil, Chorizo
Classic Potato Salad;šalát do krabičky;Side;;1;créme fraiche → kyslá smotana 16 %;TheMealDB;https://www.themealdb.com/meal/53555;53555;New Potatoes, Asparagus, Chives, Red Onions, Radish, Creme Fraiche, Mayonnaise, Dijon Mustard, Sugar, Apple Cider Vinegar, Salt, Pepper
Noodle bowl salad;šalát do krabičky;Seafood;Vietnamese;1;arašidový olej → repkový alebo slnečnicový olej;TheMealDB;https://www.themealdb.com/meal/53245;53245;Rice Noodles, Sugar Snap Peas, Sesame Seed Oil, Spring Onions, Coriander, Hot Smoked Flaked Salmon, Pretzels, Soy Sauce, Clear Honey, Lemon Juice, Ground Nut Oil, Garlic, Ginger
Sauerkraut and Fish Salad;šalát do krabičky;Seafood;;1;údená treska jednoškvrnná → údená makrela;TheMealDB;https://www.themealdb.com/meal/53577;53577;Sauerkraut, Smoked Haddock, Egg, Rye Bread, Oil, Honey, Salt
Simple heart of palm & tomato salad;šalát do krabičky;Starter;;1;sherry ocot → červený vínny ocot;TheMealDB;https://www.themealdb.com/meal/53484;53484;Palm Hearts, Cherry Tomatoes, Spring Onions, Sherry vinegar, Olive Oil, Parsley
Spicy North African Potato Salad;šalát do krabičky;Vegetarian;Moroccan;1;harissa → sladká paprika + čili + rasca + cesnak;TheMealDB;https://www.themealdb.com/meal/52797;52797;Small Potatoes, Harissa Spice, olive oil, Lemon, Spring onions, Rocket, Feta, Mint, Pine nuts, Salt, Pepper
Sweet potato salad;šalát do krabičky;Vegetarian;Turkish;1;sherry ocot → červený vínny ocot;TheMealDB;https://www.themealdb.com/meal/53275;53275;Sweet Potatoes, Olive Oil, Shallots, Spring Onions, Chives, Sherry vinegar, Extra Virgin Olive Oil, Honey
Tangy carrot, cabbage & onion salad;šalát do krabičky;Vegetarian;Vietnamese;1;arašidový olej → repkový alebo slnečnicový olej;TheMealDB;https://www.themealdb.com/meal/53246;53246;Carrots, Red Cabbage, Red Onions, Mint, Coriander Leaves, Roasted Peanut, Lime, Ground Nut Oil, Red Chilli, Brown Sugar
